t_ms h_imr h_echo
62.700000 -2.161e-10 -1.172e-07
62.800000 -2.056e-10 -1.115e-07
62.900000 7.470e-11 4.052e-08
63.000000 2.300e-10 1.247e-07
63.100000 6.759e-11 3.666e-08
63.200000 -1.683e-10 -9.131e-08
63.300000 -1.601e-10 -8.685e-08
63.400000 5.818e-11 3.156e-08
63.500000 1.791e-10 9.714e-08
63.600000 5.264e-11 2.855e-08
63.700000 -1.311e-10 -7.111e-08
63.800000 -1.247e-10 -6.764e-08
63.900000 4.531e-11 2.458e-08
64.000000 1.395e-10 7.565e-08
64.100000 4.100e-11 2.224e-08
64.200000 -1.021e-10 -5.538e-08
64.300000 -9.712e-11 -5.268e-08
64.400000 3.529e-11 1.914e-08
64.500000 1.086e-10 5.892e-08
64.600000 3.193e-11 1.732e-08
64.700000 -7.951e-11 -4.313e-08
64.800000 -7.564e-11 -4.103e-08
64.900000 2.748e-11 1.491e-08
65.000000 8.459e-11 4.589e-08
65.100000 2.487e-11 1.349e-08
65.200000 -6.193e-11 -3.359e-08
65.300000 -5.891e-11 -3.195e-08
65.400000 2.140e-11 1.161e-08
65.500000 6.588e-11 3.574e-08
65.600000 1.937e-11 1.050e-08
65.700000 -4.823e-11 -2.616e-08
65.800000 -4.588e-11 -2.488e-08
65.900000 1.667e-11 9.041e-09
66.000000 5.131e-11 2.783e-08
66.100000 1.508e-11 8.181e-09
66.200000 -3.756e-11 -2.037e-08
66.300000 -3.573e-11 -1.938e-08
66.400000 1.298e-11 7.041e-09
66.500000 3.996e-11 2.167e-08
66.600000 1.175e-11 6.371e-09
66.700000 -2.925e-11 -1.587e-08
66.800000 -2.783e-11 -1.509e-08
66.900000 1.011e-11 5.484e-09
67.000000 3.112e-11 1.688e-08
67.100000 9.148e-12 4.962e-09
67.200000 -2.278e-11 -1.236e-08
67.300000 -2.167e-11 -1.175e-08
67.400000 7.874e-12 4.271e-09
67.500000 2.424e-11 1.315e-08
67.600000 7.124e-12 3.864e-09
67.700000 -1.774e-11 -9.624e-09
67.800000 -1.688e-11 -9.154e-09
67.900000 6.132e-12 3.326e-09
68.000000 1.888e-11 1.024e-08
68.100000 5.548e-12 3.010e-09
68.200000 -1.382e-11 -7.495e-09
68.300000 -1.314e-11 -7.129e-09
68.400000 4.776e-12 2.590e-09
68.500000 1.470e-11 7.974e-09
68.600000 4.321e-12 2.344e-09
68.700000 -1.076e-11 -5.837e-09
68.800000 -1.024e-11 -5.552e-09
68.900000 3.719e-12 2.017e-09
69.000000 1.145e-11 6.210e-09
69.100000 3.365e-12 1.825e-09
69.200000 -8.381e-12 -4.546e-09
69.300000 -7.972e-12 -4.324e-09
69.400000 2.897e-12 1.571e-09
69.500000 8.916e-12 4.836e-09
69.600000 2.621e-12 1.422e-09
69.700000 -6.527e-12 -3.540e-09
69.800000 -6.209e-12 -3.368e-09
69.900000 2.256e-12 1.224e-09
70.000000 6.944e-12 3.766e-09
70.100000 2.041e-12 1.107e-09
70.200000 -5.083e-12 -2.757e-09
70.300000 -4.835e-12 -2.623e-09
70.400000 1.757e-12 9.529e-10
70.500000 5.408e-12 2.933e-09
70.600000 1.590e-12 8.622e-10
70.700000 -3.959e-12 -2.147e-09
70.800000 -3.766e-12 -2.043e-09
70.900000 1.368e-12 7.421e-10
71.000000 4.212e-12 2.284e-09
71.100000 1.238e-12 6.715e-10
71.200000 -3.083e-12 -1.672e-09
71.300000 -2.933e-12 -1.591e-09
71.400000 1.066e-12 5.780e-10
71.500000 3.280e-12 1.779e-09
71.600000 9.642e-13 5.230e-10
71.700000 -2.401e-12 -1.302e-09
71.800000 -2.284e-12 -1.239e-09
71.900000 8.299e-13 4.501e-10
72.000000 2.555e-12 1.386e-09
72.100000 7.509e-13 4.073e-10
72.200000 -1.870e-12 -1.014e-09
72.300000 -1.779e-12 -9.648e-10
72.400000 6.463e-13 3.506e-10
72.500000 1.989e-12 1.079e-09
72.600000 5.848e-13 3.172e-10
72.700000 -1.456e-12 -7.899e-10
72.800000 -1.385e-12 -7.514e-10
72.900000 5.033e-13 2.730e-10
73.000000 1.549e-12 8.404e-10
73.100000 4.554e-13 2.470e-10
73.200000 -1.134e-12 -6.152e-10
73.300000 -1.079e-12 -5.852e-10
73.400000 3.920e-13 2.126e-10
73.500000 1.207e-12 6.545e-10
73.600000 3.547e-13 1.924e-10
73.700000 -8.833e-13 -4.791e-10
73.800000 -8.402e-13 -4.558e-10
73.900000 3.053e-13 1.656e-10
74.000000 9.398e-13 5.097e-10
74.100000 2.762e-13 1.498e-10
74.200000 -6.879e-13 -3.731e-10
74.300000 -6.544e-13 -3.549e-10
74.400000 2.378e-13 1.290e-10
74.500000 7.319e-13 3.970e-10
74.600000 2.151e-13 1.167e-10
74.700000 -5.358e-13 -2.906e-10
74.800000 -5.096e-13 -2.764e-10
74.900000 1.852e-13 1.004e-10
75.000000 5.700e-13 3.092e-10
75.100000 1.675e-13 9.088e-11
